james-joyce.de,"{'http/https status': 'http', 'Title': '<title>A James Joyce Bibliography |Dubliners|Portrait|Ulysses|Finnegans Wake| INDEX</title>', 'Meta': '[<meta content=""text/html; charset=utf-8"" http-equiv=""content-type""/>, <meta content=""Bibliography, James Joyce, joyce, bibliography, James Joyce, joyce, bibliography, James Joyce, Dubliners, Portrait, Ulysses, Finnegans Wake, Essays, Study Aids"" name=""Keywords""/>, <meta content=""A bibliography of James Joyce\'s works (Dubliners, Portrait, Ulysses, Finnegans Wake) plus essays and study aids to download."" name=""Description""/>, <meta content=""throatwobbler"" name=""author""/>, <meta content=""Literature"" name=""Subject""/>, <meta content=""EN"" name=""Language""/>, <meta content=""index,follow"" name=""Robots""/>]', 'Redirect History': {}}"
wileybagpipes.com,406
califia.us,"{'http/https status': 'http', 'Title': '<title>M.D. Coverley/Marjorie Coverley Luesebrink</title>', 'Meta': '[<meta content=""text/html; charset=utf-8"" http-equiv=""Content-Type""/>]', 'Redirect History': {}}"
frontlineentertainment.net,Not Working
moonwillowstudio.com,Not Working
passingdb.com,"{'http/https status': 'https', 'Title': 'None', 'Meta': '[]', 'Redirect History': {'http://www.passingdb.com/': '301'}}"
mpag.co.uk,"{'http/https status': 'https', 'Title': '<title>Original vintage film and music posters at The Movie Poster Art Gallery, London.</title>', 'Meta': '[<meta content=""text/html; charset=utf-8"" http-equiv=""Content-Type""/>, <meta content=""Established for over 20 years, Movie Poster Art Gallery sells only original film posters, lobby cards, stills and photographs at our central London gallery, as well as vintage rock and pop and music posters."" name=""description""/>, <meta content=""index, follow"" name=""robots""/>, <meta content=""width=device-width, initial-scale=1.0"" name=""viewport""/>]', 'Redirect History': {'http://www.mpag.co.uk/': '302'}}"
hotelcal.com,"{'http/https status': 'https', 'Title': '<title>Hotel California</title>', 'Meta': '[<meta charset=""utf-8""/>, <meta content=""width=device-width, initial-scale=1"" name=""viewport""/>, <meta content=""max-image-preview:large"" name=""robots""/>, <meta content=""WordPress 5.9"" name=""generator""/>, <meta content=""https://hotelcal.com/wp-content/uploads/2021/08/cropped-fav-270x270.jpg"" name=""msapplication-TileImage""/>, <meta content=""WordPress Download Manager 3.2.35"" name=""generator""/>]', 'Redirect History': {'http://www.hotelcal.com/': '301'}}"
onlinebands.com,"{'http/https status': 'http', 'Title': '<title>Online Bands: A music portal for independent artists promoting their music to the world</title>', 'Meta': '[<meta content=""text/html; charset=utf-8"" http-equiv=""Content-Type""/>, <meta content=""Independent Artist resources and promotion to a world audience through internet technology"" name=""description""/>, <meta content=""Music,MP3,Video,MPG,AVI,Quicktime,Online Bands,Independent Artists,promotion,entertainment,Detroit"" name=""keywords""/>]', 'Redirect History': {}}"
morganfinlay.com,"{'http/https status': 'https', 'Title': '<title>Morgan Finlay | Irish-Canadian Singer-Songwriter</title>', 'Meta': '[<meta content=""IE=edge,chrome=1"" http-equiv=""X-UA-Compatible""/>, <meta content=""width=device-width, initial-scale=1"" name=""viewport""/>, <meta charset=""utf-8""/>, <meta content=""Morgan Finlay | Irish-Canadian Singer-Songwriter"" property=""og:site_name""/>, <meta content=""Morgan Finlay | Irish-Canadian Singer-Songwriter"" property=""og:title""/>, <meta content=""https://www.morganfinlay.com"" property=""og:url""/>, <meta content=""website"" property=""og:type""/>, <meta content=""http://static1.squarespace.com/static/60a7640c0b81a40a6b7f21c2/t/60b139a2e792e5552ab35cf0/1622227365638/MF-Logo_RGB.png?format=1500w"" property=""og:image""/>, <meta content=""1500"" property=""og:image:width""/>, <meta content=""141"" property=""og:image:height""/>, <meta content=""Morgan Finlay | Irish-Canadian Singer-Songwriter"" itemprop=""name""/>, <meta content=""https://www.morganfinlay.com"" itemprop=""url""/>, <meta content=""http://static1.squarespace.com/static/60a7640c0b81a40a6b7f21c2/t/60b139a2e792e5552ab35cf0/1622227365638/MF-Logo_RGB.png?format=1500w"" itemprop=""thumbnailUrl""/>, <meta content=""http://static1.squarespace.com/static/60a7640c0b81a40a6b7f21c2/t/60b139a2e792e5552ab35cf0/1622227365638/MF-Logo_RGB.png?format=1500w"" itemprop=""image""/>, <meta content=""Morgan Finlay | Irish-Canadian Singer-Songwriter"" name=""twitter:title""/>, <meta content=""http://static1.squarespace.com/static/60a7640c0b81a40a6b7f21c2/t/60b139a2e792e5552ab35cf0/1622227365638/MF-Logo_RGB.png?format=1500w"" name=""twitter:image""/>, <meta content=""https://www.morganfinlay.com"" name=""twitter:url""/>, <meta content=""summary"" name=""twitter:card""/>, <meta content="""" name=""description""/>]', 'Redirect History': {'http://www.morganfinlay.com/': '301'}}"
